,Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
77,India,Asia-Pacific,60.3,67,0.63,7159.0,LM,1406.6,0.2,0.0,0.1,0.6,0.0,0.050541898,1.0,0.2,0.0,0.019611683,0.026040105,0.342227652,-0.695400353,0.687072868,3.031981781
78,Indonesia,Asia-Pacific,69.2,68,0.71,12449.0,LM,279.1,0.5,0.0,0.1,0.7,0.2,0.083199367,1.7,0.5,0.1,0.260264262,0.338990503,1.227370667,-0.451258577,1.111516462,1.367662833
79,"Iran, Islamic Republic of",Middle East/Central Asia,68.6,74,0.77,15702.0,UM,86.0,0.5,0.1,0.0,2.4,0.1,0.07197257,3.2,0.4,0.1,0.053259352,0.169577822,0.751314683,-2.497334817,2.151116699,4.323953163
80,Iraq,Middle East/Central Asia,62.3,70,0.69,10399.0,LM,42.2,0.5,0.0,0.0,1.1,0.0,0.033445512,1.7,0.2,0.0,0.034153036,0.001787591,0.314221898,-1.412524298,1.143377449,5.495308279
81,Ireland,EU-27,80.7,82,0.95,106717.0,HI,5.0,0.9,0.3,0.6,2.5,0.1,0.103161886,4.5,0.4,0.7,0.468889103,1.379291445,3.109222875,-1.396207197,2.98330302,1.44905343
82,Israel,Middle East/Central Asia,73.5,83,0.92,43000.0,HI,8.9,0.8,0.3,0.3,2.6,0.1,0.059185502,4.2,0.1,0.0,0.023786869,0.013742928,0.242110623,-3.918772643,2.755158868,17.18587651
83,Italy,EU-27,78.3,83,0.9,43010.0,HI,60.3,0.8,0.3,0.5,2.0,0.2,0.091234352,4.0,0.4,0.1,0.340885413,0.065779728,0.971138877,-2.980056989,2.616312844,4.068620831
84,Jamaica,Central America/Caribbean,69.0,71,0.71,10109.0,UM,3.0,0.5,0.1,0.2,0.8,0.2,0.069636626,1.7,0.2,0.0,0.174209502,0.112810554,0.554318453,-1.186022004,1.152378987,3.139604046
85,Japan,Asia-Pacific,79.6,84,0.93,41809.0,HI,125.6,0.4,0.1,0.2,2.9,0.3,0.077815615,4.0,0.1,0.0,0.348004225,0.103747578,0.630109766,-3.414165762,2.677946213,6.418366678
86,Jordan,Middle East/Central Asia,69.4,74,0.72,10159.0,UM,10.3,0.4,0.1,0.1,0.6,0.0,0.104159286,1.3,0.1,0.0,0.015913501,0.001769296,0.214335249,-1.089517919,0.86335578,6.083241904
87,Kazakhstan,Middle East/Central Asia,71.1,70,0.81,26125.0,UM,19.2,0.6,0.3,0.1,3.3,0.0,0.025323045,4.3,1.9,1.6,0.20376223,0.04793581,3.82386996,-0.470322658,2.843430617,1.12299651
88,Kenya,Africa,61.0,61,0.58,5192.0,LI,56.2,0.3,0.2,0.2,0.2,0.0,0.045167026,0.9,0.2,0.2,0.011073712,0.015018315,0.462795906,-0.418506561,0.583560785,1.904300483
90,"Korea, Republic of",Asia-Pacific,77.9,84,0.93,45438.0,HI,51.3,0.7,0.2,0.2,4.2,0.5,0.07026965,5.8,0.1,0.0,0.087249585,0.383578197,0.64688681,-5.174542893,3.854701669,8.999147325
91,Kuwait,Middle East/Central Asia,64.5,79,0.83,43613.0,HI,4.4,0.7,0.4,0.1,6.4,0.5,0.48770005,8.6,0.0,0.0,0.002696897,0.285763528,0.807349671,-7.743805155,5.662208848,10.59163722
92,Kyrgyzstan,Middle East/Central Asia,73.7,72,0.69,4764.0,LI,6.7,0.5,0.2,0.0,0.6,0.0,0.073230364,1.5,0.5,0.5,0.098421885,0.04534529,1.25343204,-0.256931902,1.000098378,1.204982714
93,Lao People's Democratic Republic,Asia-Pacific,63.4,68,0.61,7866.0,LM,7.5,0.7,0.2,0.3,0.5,0.0,0.195268964,1.9,0.7,0.1,0.609881989,0.029401418,1.641909183,-0.217734454,1.231376448,1.132610534
94,Latvia,EU-27,80.3,73,0.86,31973.0,HI,1.8,1.8,0.2,4.0,1.5,0.2,0.102247668,7.7,2.8,0.2,4.551672552,2.196984142,9.930483467,2.205903606,5.114886273,0.777865437
97,Liberia,Africa,49.9,61,0.48,1524.0,LI,5.3,0.2,0.0,0.7,0.1,0.1,0.039727176,1.2,0.1,0.3,1.991241595,0.256777493,2.731745972,1.489184417,0.822771096,0.454859847
98,Lithuania,EU-27,75.4,74,0.88,39810.0,UM,2.7,1.8,0.3,1.3,2.6,0.2,0.163432462,6.4,2.8,0.3,2.283057719,0.349368846,5.967089276,-0.461161462,4.256512594,1.077284157
99,Luxembourg,EU-27,75.7,83,0.93,120505.0,HI,0.6,0.9,0.5,1.4,8.0,0.1,0.067119396,11.0,0.4,0.1,0.657103758,0.000885374,1.228958605,-9.73044912,7.256850877,8.917637809
100,Madagascar,Africa,50.1,64,0.5,1523.0,LI,29.2,0.2,0.2,0.2,0.1,0.0,0.063442166,0.8,0.2,1.0,0.580164786,0.162087995,1.978753711,1.184725168,0.525771727,0.401277096
101,Malawi,Africa,53.3,63,0.51,1373.0,LI,20.2,0.4,0.1,0.2,0.0,0.0,0.088266461,0.7,0.4,0.1,0.012361597,0.043757689,0.576487738,-0.147794125,0.47958846,1.256369937
102,Malaysia,Asia-Pacific,70.4,75,0.8,28180.0,UM,33.2,0.7,0.1,0.4,2.4,0.5,0.128678809,4.2,0.7,0.0,0.530150447,0.732839346,2.062303764,-2.18007516,2.809121806,2.057106716
103,Mali,Africa,54.1,59,0.43,2206.0,LI,21.5,0.3,0.4,0.1,0.1,0.0,0.052643001,1.0,0.4,0.5,0.433902546,0.032660782,1.368689788,0.367915862,0.662669674,0.731191198
106,Mauritania,Africa,55.8,64,0.56,5927.0,LM,4.9,0.4,1.3,0.2,0.4,0.0,0.029604019,2.3,0.1,2.4,0.049552859,1.116999731,3.653577326,1.397169821,1.494096505,0.617588545
108,Mexico,North America,70.2,70,0.76,19028.0,UM,131.6,0.5,0.2,0.3,1.1,0.1,0.082561173,2.3,0.3,0.2,0.427634638,0.132918606,1.202798995,-1.082430614,1.513181269,1.899926437
109,Mongolia,Asia-Pacific,63.5,71,0.74,11435.0,LM,3.4,0.6,4.7,0.1,2.2,0.0,0.015806037,7.7,0.4,6.8,6.197277782,0.074457563,13.51424822,5.80652981,5.10372134,0.570340154
110,Montenegro,Other Europe,68.8,74,0.83,21308.0,UM,0.6,0.5,0.4,1.1,1.3,0.1,0.27905659,3.7,0.0,0.3,1.925736937,0.248617634,2.828793864,-0.821806374,2.41727128,1.290514761
111,Morocco,Africa,69.0,74,0.68,7744.0,LM,37.8,0.5,0.2,0.1,0.6,0.1,0.031137202,1.5,0.2,0.2,0.084511722,0.065308994,0.565398289,-0.979869888,1.02321047,2.733061291
112,Mozambique,Africa,53.6,59,0.45,1232.0,LI,33.1,0.2,0.1,0.2,0.2,0.0,0.047797027,0.8,0.2,0.6,0.433448963,0.12872671,1.385576072,0.614345946,0.510675591,0.55661334
113,Myanmar,Asia-Pacific,64.3,66,0.59,4090.0,LI,55.2,0.4,0.0,0.3,0.2,0.0,0.057071596,1.1,0.5,0.0,0.499646595,0.281436417,1.362234437,0.248014203,0.737788965,0.817935741
114,Namibia,Africa,62.7,59,0.62,8949.0,UM,2.6,0.3,0.8,0.3,0.9,0.0,0.018877714,2.4,0.1,1.4,0.289487076,4.240215963,6.122942025,3.737652781,1.579436478,0.389565871
115,Nepal,Asia-Pacific,66.2,68,0.6,3921.0,LI,30.2,0.3,0.1,0.2,0.3,0.0,0.100555424,0.9,0.2,0.0,0.086229445,0.004625979,0.390028925,-0.51042717,0.596243498,2.308690555
118,Nicaragua,Central America/Caribbean,67.1,74,0.67,6056.0,LM,6.8,0.5,0.2,0.4,0.4,0.0,0.09010544,1.5,0.6,0.5,0.696956617,0.426086185,2.310417773,0.816845391,0.988979727,0.646451218
119,Niger,Africa,52.2,62,0.4,1229.0,LI,26.1,0.7,0.3,0.2,0.1,0.0,0.013122162,1.4,0.7,0.3,0.030725086,0.000422347,1.074301895,-0.276005627,0.894115866,1.256916262
120,Nigeria,Africa,54.2,53,0.54,5013.0,LM,216.7,0.3,0.1,0.2,0.2,0.0,0.047224406,0.8,0.3,0.1,0.033039166,0.01450929,0.446354238,-0.354981077,0.530609959,1.795290033
121,Norway,Other Europe,82.3,83,0.96,66643.0,HI,5.5,0.9,0.1,0.8,2.6,0.9,0.1350639,5.4,0.2,0.1,3.439090343,2.879183276,6.747554557,1.348820882,3.574810445,0.800102264
122,Oman,Middle East/Central Asia,69.2,73,0.82,30222.0,HI,5.3,0.7,0.3,0.1,4.9,0.8,0.51744752,7.3,0.1,0.0,0.001006289,1.181415343,1.801254966,-5.480212207,4.82147601,4.042441137
123,Pakistan,Asia-Pacific,59.3,66,0.54,5542.0,LM,229.5,0.3,0.0,0.1,0.3,0.0,0.044070495,0.7,0.3,0.0,0.016762376,0.027482753,0.361549059,-0.368417693,0.48335275,2.018997791
124,Panama,Central America/Caribbean,64.0,76,0.81,30907.0,UM,4.4,0.6,0.4,0.2,0.8,0.4,0.081230734,2.3,0.3,0.4,1.323250976,0.528577331,2.627580918,0.307799378,1.53606008,0.882858269
125,Papua New Guinea,Asia-Pacific,53.6,65,0.56,3682.0,LM,9.3,0.2,0.0,0.3,0.2,0.2,0.169813039,1.2,0.2,0.0,1.954178013,0.519162506,2.900181196,1.745338463,0.764687446,0.398196752
126,Paraguay,South America,67.4,70,0.72,12359.0,LM,7.3,0.7,0.8,0.9,0.7,0.0,0.109623515,3.2,1.9,2.3,5.336883702,0.051431432,9.647940739,6.497611479,2.086013243,0.32652867
127,Peru,South America,71.9,72,0.76,12878.0,UM,33.7,0.6,0.5,0.1,0.5,0.4,0.094338937,2.2,0.5,0.5,2.351926112,0.180927444,3.546836383,1.3089486,1.481833538,0.630953205
128,Philippines,Asia-Pacific,66.6,69,0.7,8768.0,LM,112.5,0.3,0.0,0.1,0.5,0.2,0.067062712,1.2,0.2,0.0,0.071795096,0.057197699,0.402745802,-0.77663592,0.780936114,2.928352614
129,Poland,EU-27,80.5,76,0.88,35703.0,HI,37.7,1.0,0.0,0.8,2.6,0.1,0.123989819,4.6,1.0,0.1,0.684798759,0.105937226,2.016241672,-2.632431214,3.078152283,2.305612938
130,Portugal,EU-27,79.2,81,0.87,34950.0,HI,10.1,0.8,0.4,0.4,1.6,0.4,0.062307541,3.7,0.3,0.2,0.835073402,0.075106238,1.478047303,-2.241348574,2.462824809,2.516425468
131,Qatar,Middle East/Central Asia,66.8,79,0.86,96605.0,HI,3.0,0.7,0.3,0.2,11.6,0.2,0.116206201,13.1,0.0,0.0,0.0,0.902741632,1.03899563,-12.08733856,8.691696866,12.63367603
